filename,width,height,class,xmin,ymin,xmax,ymax
schlachten_600 (50).jpg,600,600,schlachten,230,174,123,351
schlachten_600 (51).jpg,600,600,schlachten,155,129,152,441
schlachten_600 (52).jpg,600,600,schlachten,166,144,147,385
schlachten_600 (53).jpg,600,600,schlachten,220,76,131,329
schlachten_600 (54).jpg,600,600,schlachten,154,159,93,284
schlachten_600 (55).jpg,600,600,schlachten,144,60,107,280
schlachten_600 (56).jpg,600,600,schlachten,160,107,130,323
schlachten_600 (57).jpg,600,600,schlachten,152,48,133,356
schlachten_600 (58).jpg,600,600,schlachten,146,88,130,359
schlachten_600 (59).jpg,600,600,schlachten,165,125,77,299
schlachten_600 (6).jpg,600,600,schlachten,188,155,107,291
schlachten_600 (60).jpg,600,600,schlachten,165,91,138,378
schlachten_600 (61).jpg,600,600,schlachten,154,83,133,362
schlachten_600 (62).jpg,600,600,schlachten,181,129,83,340
schlachten_600 (63).jpg,600,600,schlachten,147,70,158,402
schlachten_600 (64).jpg,600,600,schlachten,170,89,140,411
schlachten_600 (65).jpg,600,600,schlachten,177,127,92,390
schlachten_600 (66).jpg,600,600,schlachten,185,98,138,409
schlachten_600 (67).jpg,600,600,schlachten,211,116,134,357
schlachten_600 (68).jpg,600,600,schlachten,294,95,100,290
schlachten_600 (69).jpg,600,600,schlachten,276,106,145,275
schlachten_600 (7).jpg,600,600,schlachten,243,89,98,293
schlachten_600 (70).jpg,600,600,schlachten,279,69,119,348
schlachten_600 (71).jpg,600,600,schlachten,284,75,84,318
schlachten_600 (72).jpg,600,600,schlachten,238,91,118,356
schlachten_600 (73).jpg,600,600,schlachten,165,76,148,366
schlachten_600 (74).jpg,600,600,schlachten,197,117,118,327
schlachten_600 (75).jpg,600,600,schlachten,165,85,151,357
schlachten_600 (76).jpg,600,600,schlachten,152,151,171,359
schlachten_600 (77).jpg,600,600,schlachten,185,97,133,370
schlachten_600 (78).jpg,600,600,schlachten,189,94,144,349
schlachten_600 (79).jpg,600,600,schlachten,189,85,148,407
schlachten_600 (8).jpg,600,600,schlachten,159,167,141,420
schlachten_600 (80).jpg,600,600,schlachten,204,75,146,354
schlachten_600 (81).jpg,600,600,schlachten,186,86,162,296
schlachten_600 (82).jpg,600,600,schlachten,195,70,144,377
schlachten_600 (83).jpg,600,600,schlachten,243,47,129,374
schlachten_600 (84).jpg,600,600,schlachten,243,75,133,317
schlachten_600 (85).jpg,600,600,schlachten,163,164,166,347
schlachten_600 (86).jpg,600,600,schlachten,235,80,114,309
schlachten_600 (87).jpg,600,600,schlachten,167,146,136,430
schlachten_600 (88).jpg,600,600,schlachten,243,113,150,363
schlachten_600 (89).jpg,600,600,schlachten,178,46,111,402
schlachten_600 (9).jpg,600,600,schlachten,261,110,115,352
schlachten_600 (90).jpg,600,600,schlachten,202,72,170,386
schlachten_600 (91).jpg,600,600,schlachten,134,182,87,338
schlachten_600 (92).jpg,600,600,schlachten,209,84,143,332
schlachten_600 (93).jpg,600,600,schlachten,156,138,137,330
schlachten_600 (94).jpg,600,600,schlachten,190,113,101,325
schlachten_600 (95).jpg,600,600,schlachten,122,89,160,407
schlachten_600 (96).jpg,600,600,schlachten,177,23,139,338
schlachten_600 (97).jpg,600,600,schlachten,176,133,100,317
schlachten_600 (98).jpg,600,600,schlachten,154,116,128,320
schlachten_600 (99).jpg,600,600,schlachten,159,116,144,386
schlachten_700 (1).jpg,700,700,schlachten,263,121,103,335
schlachten_700 (10).jpg,700,700,schlachten,215,97,111,396
schlachten_700 (100).jpg,700,700,schlachten,258,101,127,363
schlachten_700 (102).jpg,700,700,schlachten,139,162,231,359
schlachten_700 (103).jpg,700,700,schlachten,154,82,118,450
schlachten_700 (105).jpg,700,700,schlachten,195,92,94,357
schlachten_700 (106).jpg,700,700,schlachten,196,169,95,363
schlachten_700 (108).jpg,700,700,schlachten,186,42,103,403
schlachten_700 (109).jpg,700,700,schlachten,192,171,142,438
schlachten_700 (111).jpg,700,700,schlachten,217,260,104,274
schlachten_700 (112).jpg,700,700,schlachten,249,217,91,231
schlachten_700 (113).jpg,700,700,schlachten,179,96,198,401
schlachten_700 (114).jpg,700,700,schlachten,186,195,115,376
schlachten_700 (115).jpg,700,700,schlachten,212,206,107,391
schlachten_700 (116).jpg,700,700,schlachten,111,62,349,586
schlachten_700 (117).jpg,700,700,schlachten,183,143,108,351
schlachten_700 (119).jpg,700,700,schlachten,173,214,272,417
schlachten_700 (12).jpg,700,700,schlachten,158,230,93,379
schlachten_700 (120).jpg,700,700,schlachten,178,164,138,396
schlachten_700 (122).jpg,700,700,schlachten,169,155,268,481
schlachten_700 (123).jpg,700,700,schlachten,211,224,110,429
schlachten_700 (125).jpg,700,700,schlachten,142,58,240,548
schlachten_700 (126).jpg,700,700,schlachten,198,157,108,366
schlachten_700 (128).jpg,700,700,schlachten,142,178,209,378
schlachten_700 (129).jpg,700,700,schlachten,265,207,88,382
schlachten_700 (13).jpg,700,700,schlachten,274,107,100,369
schlachten_700 (131).jpg,700,700,schlachten,174,144,233,521
schlachten_700 (132).jpg,700,700,schlachten,282,136,82,301
schlachten_700 (134).jpg,700,700,schlachten,164,83,183,320
schlachten_700 (135).jpg,700,700,schlachten,210,145,95,347
schlachten_700 (137).jpg,700,700,schlachten,202,153,94,339
schlachten_700 (138).jpg,700,700,schlachten,193,154,103,339
schlachten_700 (14)1.jpg,700,700,schlachten,186,153,154,362
schlachten_700 (140).jpg,700,700,schlachten,203,163,93,318
schlachten_700 (141).jpg,700,700,schlachten,217,155,92,395
schlachten_700 (143).jpg,700,700,schlachten,220,152,91,425
schlachten_700 (144).jpg,700,700,schlachten,205,156,95,438
schlachten_700 (145).jpg,700,700,schlachten,219,143,188,439
schlachten_700 (146).jpg,700,700,schlachten,263,167,124,390
schlachten_700 (147).jpg,700,700,schlachten,344,124,101,338
schlachten_700 (148).jpg,700,700,schlachten,186,99,322,352
schlachten_700 (149).jpg,700,700,schlachten,358,116,87,363
schlachten_700 (15).jpg,700,700,schlachten,235,128,95,352
schlachten_700 (15)1.jpg,700,700,schlachten,209,131,172,360
schlachten_700 (151).jpg,700,700,schlachten,205,140,270,398
schlachten_700 (152).jpg,700,700,schlachten,205,102,142,402
schlachten_700 (154).jpg,700,700,schlachten,172,82,231,566
schlachten_700 (155).jpg,700,700,schlachten,205,193,101,395
schlachten_700 (157).jpg,700,700,schlachten,214,87,204,459
schlachten_700 (158).jpg,700,700,schlachten,212,97,159,410
schlachten_700 (16).jpg,700,700,schlachten,193,152,98,395
schlachten_700 (16)1.jpg,700,700,schlachten,158,109,172,469
schlachten_700 (160).jpg,700,700,schlachten,203,91,218,340
schlachten_700 (161).jpg,700,700,schlachten,255,144,101,364
schlachten_700 (163).jpg,700,700,schlachten,221,72,212,414
schlachten_700 (164).jpg,700,700,schlachten,235,219,83,293
schlachten_700 (166).jpg,700,700,schlachten,178,173,259,475
schlachten_700 (167).jpg,700,700,schlachten,296,155,140,362
schlachten_700 (169).jpg,700,700,schlachten,287,112,77,376
schlachten_700 (17).jpg,700,700,schlachten,212,32,168,424
schlachten_700 (17)1.jpg,700,700,schlachten,219,26,182,420
schlachten_700 (170).jpg,700,700,schlachten,162,230,81,370
schlachten_700 (172).jpg,700,700,schlachten,207,203,91,311
schlachten_700 (173).jpg,700,700,schlachten,233,131,103,347
schlachten_700 (175).jpg,700,700,schlachten,215,35,141,391
schlachten_700 (176).jpg,700,700,schlachten,201,167,114,350
schlachten_700 (177).jpg,700,700,schlachten,166,111,218,436
schlachten_700 (178).jpg,700,700,schlachten,208,178,95,389
schlachten_700 (179).jpg,700,700,schlachten,262,100,137,379
schlachten_700 (18).jpg,700,700,schlachten,207,158,105,380
schlachten_700 (18)1.jpg,700,700,schlachten,195,149,129,374
schlachten_700 (180).jpg,700,700,schlachten,157,73,274,504
schlachten_700 (181).jpg,700,700,schlachten,191,179,100,287
schlachten_700 (183).jpg,700,700,schlachten,138,106,206,460
schlachten_700 (184).jpg,700,700,schlachten,195,92,86,382
schlachten_700 (186).jpg,700,700,schlachten,134,56,227,461
schlachten_700 (187).jpg,700,700,schlachten,190,42,92,402
schlachten_700 (189).jpg,700,700,schlachten,140,140,297,549
schlachten_700 (19).jpg,700,700,schlachten,197,178,100,301
schlachten_700 (19)1.jpg,700,700,schlachten,167,140,199,382
schlachten_700 (190).jpg,700,700,schlachten,216,244,102,312
schlachten_700 (192).jpg,700,700,schlachten,149,139,196,379
schlachten_700 (193).jpg,700,700,schlachten,200,197,89,354
schlachten_700 (195).jpg,700,700,schlachten,163,177,221,438
schlachten_700 (196).jpg,700,700,schlachten,179,150,115,345
schlachten_700 (198).jpg,700,700,schlachten,166,262,248,358
schlachten_700 (199).jpg,700,700,schlachten,172,167,144,399
schlachten_700 (20).jpg,700,700,schlachten,140,82,298,602
schlachten_700 (20)1.jpg,700,700,schlachten,195,162,149,397
schlachten_700 (201).jpg,700,700,schlachten,215,197,100,409
schlachten_700 (202).jpg,700,700,schlachten,207,231,111,427
schlachten_700 (204).jpg,700,700,schlachten,216,159,87,398
schlachten_700 (205).jpg,700,700,schlachten,213,162,89,358
schlachten_700 (207).jpg,700,700,schlachten,184,202,108,383
schlachten_700 (208).jpg,700,700,schlachten,269,219,90,358
schlachten_700 (209).jpg,700,700,schlachten,159,138,274,561
schlachten_700 (21).jpg,700,700,schlachten,255,91,140,387
schlachten_700 (21)1.jpg,700,700,schlachten,224,87,222,420
schlachten_700 (210).jpg,700,700,schlachten,219,207,97,402
schlachten_700 (211).jpg,700,700,schlachten,286,137,85,304
schlachten_700 (212).jpg,700,700,schlachten,134,162,203,423
schlachten_700 (213).jpg,700,700,schlachten,184,104,100,262
schlachten_700 (215).jpg,700,700,schlachten,157,68,244,560
schlachten_700 (216).jpg,700,700,schlachten,200,153,101,352
schlachten_700 (218).jpg,700,700,schlachten,169,102,201,479
schlachten_700 (219).jpg,700,700,schlachten,201,158,92,325
schlachten_700 (22)1.jpg,700,700,schlachten,202,128,131,366
schlachten_700 (221).jpg,700,700,schlachten,178,44,186,531
schlachten_700 (222).jpg,700,700,schlachten,214,143,102,427
schlachten_700 (224).jpg,700,700,schlachten,176,128,304,491
schlachten_700 (225).jpg,700,700,schlachten,265,163,106,354
schlachten_700 (227).jpg,700,700,schlachten,312,102,159,359
schlachten_700 (228).jpg,700,700,schlachten,346,112,96,362
schlachten_700 (23).jpg,700,700,schlachten,129,101,258,416
schlachten_700 (23)1.jpg,700,700,schlachten,168,152,179,344
schlachten_700 (230).jpg,700,700,schlachten,279,118,177,423
schlachten_700 (231).jpg,700,700,schlachten,201,105,140,402
schlachten_700 (233).jpg,700,700,schlachten,222,159,91,358
schlachten_700 (234).jpg,700,700,schlachten,212,198,117,384
schlachten_700 (236).jpg,700,700,schlachten,258,111,108,401
schlachten_700 (237).jpg,700,700,schlachten,223,103,171,466
schlachten_700 (24).jpg,700,700,schlachten,168,92,114,450
schlachten_700 (24)1.jpg,700,700,schlachten,158,68,155,490
schlachten_700 (25)1.jpg,700,700,schlachten,167,146,183,416
schlachten_700 (26).jpg,700,700,schlachten,147,76,252,451
schlachten_700 (26)1.jpg,700,700,schlachten,177,80,150,377
schlachten_700 (27).jpg,700,700,schlachten,191,168,95,369
schlachten_700 (27)1.jpg,700,700,schlachten,160,148,187,399
schlachten_700 (28)1.jpg,700,700,schlachten,196,101,150,373
schlachten_700 (29).jpg,700,700,schlachten,162,42,161,442
schlachten_700 (29)1.jpg,700,700,schlachten,173,23,139,415
schlachten_700 (3).jpg,700,700,schlachten,158,116,330,441
schlachten_700 (30).jpg,700,700,schlachten,206,188,120,437
schlachten_700 (30)1.jpg,700,700,schlachten,180,162,170,464
schlachten_700 (31)1.jpg,700,700,schlachten,202,194,172,431
schlachten_700 (32).jpg,700,700,schlachten,178,214,212,398
schlachten_700 (32)1.jpg,700,700,schlachten,205,214,168,331
schlachten_700 (33).jpg,700,700,schlachten,248,215,86,234
schlachten_700 (33)1.jpg,700,700,schlachten,238,182,125,279
schlachten_700 (34)1.jpg,700,700,schlachten,170,101,169,405
schlachten_700 (35).jpg,700,700,schlachten,164,150,206,472
schlachten_700 (35)1.jpg,700,700,schlachten,181,151,136,450
schlachten_700 (36).jpg,700,700,schlachten,215,210,98,395
schlachten_700 (36)1.jpg,700,700,schlachten,189,177,169,414
schlachten_700 (37)1.jpg,700,700,schlachten,199,155,175,435
schlachten_700 (38).jpg,700,700,schlachten,118,88,222,445
schlachten_700 (38)1.jpg,700,700,schlachten,134,127,220,398
schlachten_700 (39).jpg,700,700,schlachten,225,265,138,339
schlachten_700 (39)1.jpg,700,700,schlachten,221,203,156,432
schlachten_700 (4).jpg,700,700,schlachten,286,57,131,428
schlachten_700 (40)1.jpg,700,700,schlachten,180,195,216,443
schlachten_700 (41).jpg,700,700,schlachten,173,155,139,412
schlachten_700 (41)1.jpg,700,700,schlachten,153,133,228,464
schlachten_700 (42).jpg,700,700,schlachten,219,203,94,387
schlachten_700 (42)1.jpg,700,700,schlachten,168,151,205,456
schlachten_700 (43)1.jpg,700,700,schlachten,201,138,118,462
schlachten_700 (44).jpg,700,700,schlachten,225,219,86,444
schlachten_700 (44)1.jpg,700,700,schlachten,183,174,226,497
schlachten_700 (45).jpg,700,700,schlachten,217,212,116,432
schlachten_700 (45)1.jpg,700,700,schlachten,173,156,239,497
schlachten_700 (46)1.jpg,700,700,schlachten,191,147,164,431
schlachten_700 (47).jpg,700,700,schlachten,205,147,110,374
schlachten_700 (47)1.jpg,700,700,schlachten,173,112,205,451
schlachten_700 (48).jpg,700,700,schlachten,184,201,102,352
schlachten_700 (48)1.jpg,700,700,schlachten,160,151,200,432
schlachten_700 (49).jpg,700,700,schlachten,135,203,187,374
schlachten_700 (49)1.jpg,700,700,schlachten,152,138,177,439
schlachten_700 (50).jpg,700,700,schlachten,265,221,105,377
schlachten_700 (50)1.jpg,700,700,schlachten,239,169,168,425
schlachten_700 (51).jpg,700,700,schlachten,202,172,125,500
schlachten_700 (51)1.jpg,700,700,schlachten,185,129,209,540
schlachten_700 (52).jpg,700,700,schlachten,110,111,312,556
schlachten_700 (52)1.jpg,700,700,schlachten,188,172,172,432
schlachten_700 (53).jpg,700,700,schlachten,268,123,111,337
schlachten_700 (53)1.jpg,700,700,schlachten,264,119,133,348
schlachten_700 (54)1.jpg,700,700,schlachten,153,172,157,386
schlachten_700 (55).jpg,700,700,schlachten,160,62,224,380
schlachten_700 (55)1.jpg,700,700,schlachten,164,71,176,317
schlachten_700 (56).jpg,700,700,schlachten,216,158,86,349
schlachten_700 (56)1.jpg,700,700,schlachten,170,117,175,405
schlachten_700 (57)1.jpg,700,700,schlachten,173,60,167,414
schlachten_700 (58).jpg,700,700,schlachten,155,135,186,513
schlachten_700 (58)1.jpg,700,700,schlachten,178,133,180,369
schlachten_700 (59).jpg,700,700,schlachten,200,147,93,346
schlachten_700 (59)1.jpg,700,700,schlachten,175,125,157,394
